Geneid,Naive_11,Naive_16,Naive_38,Naive_56,Naive_82,Naive_85,Rejecting_74,Rejecting_76,Rejecting_78,Rejecting_80,Tolerant_34,Tolerant_36,Tolerant_68,Tolerant_70,Tolerant_72
ENSMUSG00000102628,0,0,0,0,0,0,0,0,0,0,158,0,0,0,75
ENSMUSG00000100595,1,2,1,0,4,5,6,11,2,1,7,7,0,5,4
ENSMUSG00000097426,0,1,0,0,0,0,2,3,1,3,0,0,0,0,0
ENSMUSG00000104478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,1,0,0,2,4,3,2,2,3,1,4,2,2
ENSMUSG00000086053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,73,55,67,24,38,71,47,68,26,60,47,61,70,46,75
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101097,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
ENSMUSG00000100764,0,0,1,0,0,0,0,0,0,2,0,0,0,0,14
ENSMUSG00000102095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0
ENSMUSG00000100831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100480,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
ENSMUSG00000089037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100025,23,46,23,6,64,15,49,6,41,41,13,7,36,37,18
ENSMUSG00000051285,1657,2734,1963,2612,2340,2563,753,611,1652,1595,3356,3878,1798,2045,2423
ENSMUSG00000098201,55,25,37,13,13,35,14,11,32,17,29,55,25,31,29
ENSMUSG00000103509,45,0,3,0,47,1,1,0,9,21,2,1,6,1,44
ENSMUSG00000048538,1,27,2,0,4,4,10,1,0,1,4,0,2,0,2
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000097797,53,16,28,31,1,14,19,29,6,18,6,57,1,36,124
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000103067,0,0,0,0,1,0,0,4,0,0,0,0,0,11,1
